history_block_num,rentrex,loan_num,total_lendable,total_lent,total_rent,total_rex,total_unlent
147052800,3569,404926,69129325.8922,39825476.7666,8210.1215,686310349721.4358,29303849.1256
146880000,3700,404654,69118688.0367,39285948.3183,8061.6172,686211242801.9987,29832739.7184
146707200,3781,404353,69148096.8354,38974315.9743,7978.4856,686509792038.7134,30173780.8611
146534400,4037,403671,68508785.698,37661852.5022,7639.9784,680169263522.4163,30846933.1958
146361600,4058,403359,68561427.3517,37609705.9085,7627.0352,680698705969.4128,30951721.4432
146188800,4185,402888,68485707.8242,37091885.1041,7501.2882,679954932876.1759,31393822.7201
146016000,3892,402376,68203360.5743,38067592.7253,7742.2667,677161605905.4338,30135767.849
145843200,3893,401949,67718970.309,37818459.9753,7679.5408,672363555085.862,29900510.3337
145670400,3741,401448,67157542.436,38123190.6447,7760.4397,666802898704.8531,29034351.7913
145497600,3094,401003,66847810.3247,40596344.7441,8484.8841,663741766830.2308,26251465.5806
145324800,2366,400722,66670025.0436,43799940.2164,9665.2817,661991036883.1577,22870084.8272
145152000,2149,400467,66083436.6628,44574443.6131,10007.0433,656181186049.2883,21508993.0497
144979200,2162,399940,66038446.5553,44484755.6366,9966.2871,655749069661.2449,21553690.9187
144806400,2018,399613,65952446.395,45172460.4201,10293.9903,654909673075.9476,20779985.9749
144633600,2025,399186,65636695.776,44980358.9664,10199.7492,651788742575.8665,20656336.8096
144460800,2090,398484,65290823.6613,44479987.2651,9955.0836,648368483715.6602,20810836.3962
144288000,2100,396721,65307599.3718,44438302.4028,9934.882,648549305082.406,20869296.969
144115200,2368,393911,65476784.4128,43229497.7583,9392.5242,650243580511.9755,22247286.6545
143942400,1885,390984,64730824.1427,45225807.9226,10348.8297,642849500614.6134,19505016.2201
143769600,1991,390553,64576059.6383,44605965.2499,10028.0965,641326349825.682,19970094.3884
143596800,2060,389312,64489398.4889,44218770.4111,9840.6965,640479324736.7764,20270628.0778
143424000,2026,388914,64508091.4908,44394029.4457,9927.2584,640678653810.5248,20114062.0451
143251200,2627,386461,64572116.1113,41632373.2301,8732.5598,641327872270.2014,22939742.8812
143078400,2677,386016,64467057.7018,41362480.9524,8630.6588,640297472800.6761,23104576.7494
142905600,2818,385352,64512101.3907,40782201.574,8418.9125,640757701478.661,23729899.8167
142732800,2850,385065,64532798.4246,40657905.2295,8375.0472,640975988412.2234,23874893.1951
142560000,2554,384705,64645222.2061,41991664.4897,8867.898,642105165000.4106,22653557.7164
142387200,2650,384347,65015494.2801,41753420.421,8775.8762,645795384479.7867,23262073.8591
142214400,2647,384018,65012989.0445,41768547.9243,8781.6643,645782674287.6028,23244441.1202
142041600,2447,383197,64953484.468,42629970.3259,9120.221,645203558637.679,22323514.1421
141868800,1697,382428,65063135.5458,46418528.8246,10983.9766,646304736712.6237,18644606.7212
141696000,1716,382096,65211638.1012,46389501.823,10967.081,647791803991.9816,18822136.2782
141523200,1724,381815,65248518.3377,46362478.9132,10951.3239,648169898528.9476,18886039.4245
141350400,1664,381484,64849918.3021,46496436.8949,11030.5859,644221816072.9825,18353481.4072
141177600,1653,381023,64994936.8596,46628803.266,11110.0912,645673892938.9417,18366133.5936
141004800,1682,380516,65129474.9522,46535899.7638,11054.6778,647020582755.5156,18593575.1884
140832000,2117,379995,65276209.3161,44332047.4266,9890.0734,648486436062.9846,20944161.8895
140659200,2350,379171,66826131.647,43969177.463,9726.8496,663890986924.3773,22856954.184
140486400,2702,378625,67705658.0434,42735503.5225,9241.2163,672633094511.757,24970154.5209
140313600,4448,377860,68102726.0548,35841899.2539,7252.6628,676581142634.7683,32260826.8009
140140800,5564,377044,69869452.4417,32872772.7494,6647.878,694136063381.5044,36996679.6923
139968000,5711,376590,70567505.7751,32729923.2217,6624.4019,701073869730.3917,37837582.5534
139795200,5688,376085,71197909.8289,33121015.6193,6693.4541,707339719365.3369,38076894.2096
139622400,5990,375409,71578497.3835,32312094.1451,6554.394,711123708267.7437,39266403.2384
139449600,6176,374924,72295988.779,32062382.2291,6513.861,718254828267.388,40233606.5499
139276800,6358,374613,72726370.5665,31686612.3357,6453.9727,722533594655.4464,41039758.2308
139104000,6288,374373,73322888.097,32209610.527,6537.5756,728463348068.3217,41113277.57
138931200,6253,374120,73689341.8228,32505935.8925,6585.153,732107791118.052,41183405.9303
138758400,7128,373663,73918435.6597,29833929.4817,6184.034,734387680148.7915,44084506.178
138585600,7023,373451,73977285.6215,30189178.6222,6234.214,734976367741.6162,43788106.9993
138412800,7258,373216,75002345.7591,29971302.8606,6203.5463,745164636092.3065,45031042.8985
138240000,7394,372993,74947793.9085,29524690.3785,6142.5829,744626782328.1515,45423103.53
138067200,7142,372768,75045471.0085,30355048.2825,6256.6555,745601526109.973,44690422.726
137894400,7471,372528,75051711.1297,29338673.6677,6117.5319,745668297920.4491,45713037.462
137721600,7580,372282,74961643.2572,28962183.7582,6067.4814,744778370783.7004,45999459.499
137548800,7549,372046,74907946.1499,29029815.0191,6076.3862,744250533749.5562,45878131.1308
137376000,7836,371735,75012984.2362,28217844.4231,5970.7351,745300670739.5973,46795139.8131
137203200,7486,371504,74988215.4019,29262356.7277,6107.085,745062150618.4528,45725858.6742
137030400,7541,371102,74845665.446,29025473.7278,6075.4796,743653487881.9949,45820191.7182
136857600,8332,370219,74887059.3317,26701282.4604,5782.0289,744072667610.0854,48185776.8713
136684800,3460,369487,75147224.3493,43982669.4753,9005.9614,746667916232.7683,31164554.874
136512000,3462,368873,75353947.2425,44075817.7496,9032.9426,748732195709.5259,31278129.4929
136339200,3384,368476,75382541.2595,44446951.8286,9141.2967,749026569964.1228,30935589.4309
136166400,3411,367739,75445633.6316,44353540.7266,9113.8123,749663805924.6737,31092092.905
135993600,3445,367336,75208135.5863,44081165.0473,9033.8993,747314173219.9099,31126970.539
135820800,3476,366423,75403167.6591,44038253.7302,9021.5644,749262486598.6028,31364913.9289
135648000,3517,366156,75313287.111,43809916.4722,8956.0735,748379639327.6969,31503370.6388
135475200,3362,365715,75077341.0377,44396367.0974,9126.0462,746045272060.9253,30680973.9403
135302400,3353,364668,74920764.0356,44354848.5155,9113.6972,744499537979.9636,30565915.5201
135129600,3375,364161,74894852.9578,44245508.8506,9081.1208,744252205361.7904,30649344.1072
134956800,3382,363026,74845747.5426,44188168.7108,9063.965,743774315907.3295,30657578.8318
134784000,3504,362619,74909114.0291,43673050.8758,8914.3274,744414107207.127,31236063.1533
134611200,3605,361874,74976399.1799,43255395.821,8797.0327,745092798846.0022,31721003.3589
134438400,1538,361531,75050299.6954,54294439.3435,13492.8276,745837727208.0931,20755860.3519
134265600,1491,361230,75360309.6011,54776194.7742,13808.897,748929091486.511,20584114.8269
134092800,1423,360781,75291827.4831,55211846.1348,14108.2967,748258992988.074,20079981.3483
133920000,1240,358949,75811368.6046,56818195.9871,15320.5503,753432530268.883,18993172.6175
133747200,1053,358142,76214018.9117,58523042.5286,16800.5191,757444182393.4983,17690976.3831
133574400,924,357418,76181828.7799,59624123.8282,17915.3002,757134108284.7275,16557704.9517
133401600,890,356745,76369141.5674,60026117.4869,18361.2685,759005474285.4524,16343024.0805
133228800,813,356506,76374106.1497,60747896.4686,19208.2102,759064489434.7964,15626209.6811
133056000,739,356231,76490783.7346,61541574.6875,20235.6258,760233799278.1316,14949209.0471
132883200,604,355768,76367042.1826,62907251.4917,22287.5961,759013458614.5309,13459790.6909
132710400,573,355407,76519366.5054,63333561.1716,23012.2485,760536518794.4109,13185805.3338
132537600,659,354579,76794162.6223,62506310.6802,21683.2296,763276710864.58,14287851.9421
132364800,659,354192,76775937.4671,62494959.9717,21666.4402,763103756637.4133,14280977.4954
132192000,1084,353104,77664823.0004,58774180.9498,17431.7768,771945996171.233,18890642.0506
132019200,1289,352564,77897892.4426,57170640.8666,16073.7988,774268697165.1448,20727251.576
131846400,1248,351925,77834207.9323,57475805.0621,16314.131,773641669851.6582,20358402.8702
131673600,1280,351125,77940352.388,57268754.7502,16150.8623,774702395943.5018,20671597.6378
131500800,5353,350705,77973884.6571,35672271.3166,7901.5871,775038888372.1621,42301613.3405
131328000,5281,350170,78125801.9768,36031944.1317,7969.1862,776552076268.343,42093857.8451
131155200,5408,349505,78150591.4726,35542259.6976,7877.5788,776801609637.2775,42608331.775
130982400,5333,349065,78181771.8107,35853877.7704,7935.5192,777114704203.2811,42327894.0403
130809600,5162,348431,78177463.8363,36537140.3066,8065.6969,777075020730.81,41640323.5297
130636800,5101,347859,78185733.2353,36786827.9362,8114.3161,777160267295.5333,41398905.2991
130464000,5111,347363,78161734.0734,36737124.524,8104.5455,776924776752.5216,41424609.5494
130291200,5168,346630,78251856.5428,36549241.5557,8067.8842,777823648006.661,41702614.9871
130118400,5177,345929,78181157.2367,36478550.4766,8054.1758,777124029599.8953,41702606.7601
129945600,5231,345428,78470709.6337,36405568.6734,8040.1668,780005375332.3861,42065140.9603
129772800,5313,345003,78503904.5465,36094169.2587,7981.0933,780338518747.829,42409735.2878
129600000,5381,344689,78479187.5107,35811065.1793,7928.1662,780095988725.877,42668122.3314
129427200,5357,344150,78472579.4037,35903035.9805,7945.2724,780033555215.5907,42569543.4232
